batch_id,cell_id,seed,freeze_witness_id,strategy,weight_vector,capacity_ratio,blackout_policy,approver_policy,label_source,epss_era,catalog_strictness,ablation,t0_window_set,metric,value
B-primary-capacity,CAP-epss_only-cap0005,1,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,epss_only,na,0.005,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,ehd_absolute,3273721920.0
B-primary-capacity,CAP-epss_only-cap0005,1,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,epss_only,na,0.005,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,capacity_efficiency,0.005
B-primary-capacity,CAP-epss_only-cap0005,1,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,epss_only,na,0.005,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,scheduler_feasibility,1.0
B-primary-capacity,CAP-epss_only-cap0005,1,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,epss_only,na,0.005,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,scheduled_count_total,1009620.0
B-primary-capacity,CAP-epss_only-cap0005,1,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,epss_only,na,0.005,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,n_pairs_total,201924000.0
B-primary-capacity,CAP-epss_only-cap0005,1,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,epss_only,na,0.005,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,n_t0_windows,18.0
B-primary-capacity,CAP-epss_only-cap0005,2,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,epss_only,na,0.005,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,ehd_absolute,3288289536.0
B-primary-capacity,CAP-epss_only-cap0005,2,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,epss_only,na,0.005,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,capacity_efficiency,0.005
B-primary-capacity,CAP-epss_only-cap0005,2,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,epss_only,na,0.005,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,scheduler_feasibility,1.0
B-primary-capacity,CAP-epss_only-cap0005,2,750e144ba9567b5255b27ce40279643bdf7418d53b15edce5d72c515eb022833,epss_only,na,0.005,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,monthly_18_2023_09_to_2025_02,scheduled_count_total,1009620.0
