asset_id,asset_type,asset_criticality,owner_ou,in_inventory,in_endpoint_mgmt,inventory_mismatch_flag,source_freshness_flag,last_updated_at
a27a5efc-e0d1-bf74-ad2b-f5210bb061ce,endpoint,critical,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
a8fae309-7398-6b0c-5b35-642e471dcc40,endpoint,medium,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
fa4246c9-8f2a-d998-5d1d-a8d02b741ccf,endpoint,medium,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
5303cdea-045d-733d-4e99-28101f368ab4,endpoint,low,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
e64dd06d-b114-f785-73f2-ff35b69189b7,endpoint,low,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
9bd1edf5-2201-db9c-297b-fb6902159822,endpoint,medium,"OU=Workstations,DC=corp,DC=local",False,True,True,fresh,2024-01-01T00:00:00
f196d519-2a73-2864-d499-b77b27bd6f02,endpoint,medium,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
14585522-3668-4da0-8927-a4c557edcd48,endpoint,low,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
a2bdd449-f040-a340-c668-7accf7a030ca,endpoint,high,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
afa1fab2-0b8b-fd0e-f2a7-1ef847ba3938,endpoint,medium,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
28014eae-a522-2aed-64f5-1ff03448a1ae,endpoint,medium,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
85373d0f-858f-1f51-9bce-9cccd037f21d,endpoint,medium,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
87f20aaa-eb47-be80-09c3-019b8b8f2f2e,endpoint,low,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
e49bd85e-8598-3983-49a6-17a4ee98f581,endpoint,medium,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
3ace98f7-3592-1243-a6b8-f4c33b1739bc,endpoint,critical,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
eed3a30f-9483-821d-47ba-03c9e8df79b0,endpoint,medium,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
0f6270de-9da2-0bb4-975d-89f37aaf439c,endpoint,medium,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
c7a74f55-f2d0-7cce-52da-ba3f99354397,endpoint,low,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
967de686-10f7-e715-bcad-1c8150fe4719,endpoint,low,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
0cccc156-9cb0-54d9-8e84-532e66064113,endpoint,medium,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
afb85520-66ad-a6d1-8007-f342f53ebe6e,endpoint,medium,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
9241083b-8fd5-ca85-be47-3a7fc47e5a54,endpoint,low,"OU=Workstations,DC=corp,DC=local",True,True,False,fresh,2024-01-01T00:00:00
